Accel_x,Accel_y,Accel_z
0.537,-1.719,0.757
0.46,-1.737,0.967
0.385,-1.821,1.196
0.276,-1.788,1.317
0.217,-1.676,1.544
0.155,-1.614,1.747
0.117,-1.466,1.814
0.092,-1.33,1.888
0.038,-1.26,1.919
-0.014,-1.128,1.902
-0.127,-1.02,1.702
-0.131,-0.93,1.638
-0.167,-0.889,1.595
-0.242,-0.837,1.407
-0.248,-0.814,1.262
-0.194,-0.886,1.171
-0.305,-0.669,0.986
-0.203,-0.703,0.846
-0.184,-0.673,0.739
-0.095,-0.697,0.7
-0.095,-0.692,0.673
-0.146,-0.55,0.473
-0.073,-0.54,0.489
0.109,-0.544,0.533
0.169,-0.549,0.51
0.225,-0.558,0.492
0.259,-0.556,0.495
0.346,-0.541,0.515
0.45,-0.495,0.655
0.334,-0.538,0.479
0.523,-0.508,0.716
0.563,-0.452,0.609
0.585,-0.453,0.56
0.623,-0.443,0.592
0.636,-0.424,0.616
0.633,-0.411,0.643
0.64,-0.402,0.642
0.674,-0.393,0.642
0.699,-0.302,0.757
0.735,-0.225,0.647
0.79,-0.537,0.713
0.784,-0.381,0.775
0.656,-0.374,0.748
0.72,-0.433,0.785
0.722,-0.457,0.851
0.696,-0.451,0.857
0.693,-0.494,0.872
0.681,-0.526,0.885
0.636,-0.552,0.885
0.602,-0.587,0.887
0.586,-0.644,0.899
0.58,-0.691,0.914
0.567,-0.712,0.92
0.539,-0.782,0.938
0.521,-0.802,0.945
0.516,-0.826,0.99
0.46,-0.824,0.974
0.424,-0.772,0.988
0.4,-0.768,1.006
0.386,-0.715,1.003
0.398,-0.742,1
0.402,-0.751,0.969
0.351,-0.71,0.939
0.355,-0.689,0.89
0.339,-0.675,0.85
0.347,-0.661,0.838
0.354,-0.67,0.836
0.346,-0.649,0.778
0.334,-0.647,0.788
0.315,-0.564,0.71
0.338,-0.584,0.719
0.333,-0.542,0.707
0.31,-0.517,0.683
0.316,-0.533,0.748
0.28,-0.545,0.748
0.204,-0.508,0.744
0.191,-0.5,0.775
0.192,-0.519,0.806
0.174,-0.534,0.846
0.153,-0.528,0.855
0.113,-0.497,0.863
0.094,-0.464,0.87
0.093,-0.44,0.871
0.099,-0.429,0.855
0.106,-0.405,0.845
0.11,-0.371,0.834
0.109,-0.353,0.827
0.104,-0.315,0.822
0.095,-0.279,0.822
0.092,-0.252,0.827
0.072,-0.266,0.629
-0.002,-0.138,0.612
0.049,-0.097,0.778
0.079,-0.089,0.74
0.032,-0.031,0.728
-0.028,0.016,0.672
-0.074,0.048,0.628
-0.033,0.039,0.669
-0.003,0.01,0.71
-0.021,0.081,0.742
-0.109,0.273,0.754
-0.037,0.039,0.708
0.01,-0.058,0.72
0.023,0,0.791
0.788,-1.286,0.059
0.794,-1.347,0.114
0.81,-1.34,0.206
0.874,-1.349,0.266
0.894,-1.376,0.346
0.898,-1.364,0.428
0.956,-1.367,0.507
0.985,-1.358,0.691
0.97,-1.334,0.86
0.948,-1.326,1.062
0.931,-1.315,1.155
0.807,-1.218,1.288
0.734,-1.165,1.427
0.604,-1.111,1.488
0.448,-1.052,1.509
0.385,-1.032,1.44
0.235,-1.018,1.391
0.12,-0.989,1.294
0.052,-0.928,1.203
-0.087,-0.877,1.147
-0.193,-0.784,1.116
-0.232,-0.752,1.027
-0.239,-0.729,0.918
-0.224,-0.681,0.903
-0.157,-0.667,0.841
-0.112,-0.663,0.776
0.007,-0.639,0.76
0.135,-0.59,0.744
0.205,-0.538,0.716
0.335,-0.519,0.67
0.473,-0.492,0.656
0.588,-0.496,0.588
0.673,-0.431,0.665
0.751,-0.399,0.665
0.81,-0.417,0.637
0.836,-0.423,0.635
0.873,-0.429,0.648
0.904,-0.43,0.632
0.951,-0.45,0.619
0.977,-0.454,0.628
0.977,-0.449,0.661
0.975,-0.45,0.716
0.964,-0.453,0.736
0.956,-0.488,0.774
0.946,-0.509,0.824
0.909,-0.534,0.832
0.891,-0.562,0.855
0.879,-0.578,0.874
0.867,-0.61,0.877
0.864,-0.626,0.877
0.846,-0.629,0.871
0.828,-0.637,0.864
0.81,-0.646,0.847
0.803,-0.651,0.833
0.772,-0.658,0.801
0.791,-0.69,0.843
0.751,-0.515,0.794
0.703,-0.649,0.763
0.685,-0.645,0.753
0.666,-0.619,0.751
0.624,-0.61,0.741
0.583,-0.612,0.732
0.567,-0.625,0.727
0.547,-0.633,0.73
0.526,-0.641,0.732
0.519,-0.653,0.744
0.506,-0.663,0.755
0.486,-0.677,0.76
0.475,-0.67,0.76
0.471,-0.684,0.768
0.469,-0.696,0.773
0.447,-0.686,0.775
0.435,-0.642,0.79
0.381,-0.612,0.78
0.342,-0.535,0.789
0.34,-0.467,0.809
0.317,-0.456,0.773
0.257,-0.442,0.747
0.223,-0.421,0.689
0.178,-0.419,0.653
0.172,-0.425,0.638
0.173,-0.43,0.608
0.17,-0.436,0.59
0.169,-0.441,0.584
0.175,-0.447,0.586
0.18,-0.449,0.603
0.199,-0.446,0.632
0.216,-0.431,0.65
0.233,-0.414,0.685
0.237,-0.386,0.721
0.246,-0.369,0.739
0.248,-0.322,0.773
0.243,-0.257,0.813
0.214,-0.225,0.831
0.18,-0.166,0.833
0.162,-0.119,0.825
0.142,-0.102,0.814
0.129,-0.074,0.804
0.122,-0.058,0.773
0.109,-0.05,0.732
0.102,-0.042,0.713
0.104,-0.043,0.692
0.113,-0.043,0.687
0.126,-0.061,0.686
0.137,-0.068,0.696
0.157,-0.069,0.714
0.178,-0.071,0.73
0.199,-0.056,0.758
0.209,-0.024,0.796
0.233,-0.002,0.815
0.367,0.049,0.854
0.257,0.076,0.893
0.268,0.135,0.91
0.271,0.196,0.933
0.271,0.221,0.943
0.266,0.258,0.938
0.267,0.271,0.916
0.262,0.281,0.896
0.274,0.261,0.896
0.746,-1.2,0.404
0.818,-0.895,0.433
0.454,-0.959,0.474
0.502,-1.209,0.407
0.549,-1.199,0.444
0.565,-1.268,0.449
0.576,-1.328,0.444
0.579,-1.292,0.431
0.546,-1.341,0.463
0.575,-1.365,0.486
0.571,-1.362,0.511
0.571,-1.349,0.608
0.558,-1.304,0.665
0.545,-1.245,0.8
0.52,-1.216,0.911
0.487,-1.167,0.965
0.44,-1.104,1.047
0.415,-1.033,1.099
0.375,-1.007,1.115
0.356,-0.965,1.249
0.323,-0.924,1.119
0.301,-0.888,1.097
0.251,-0.871,1.081
0.21,-0.846,1.041
0.191,-0.823,1.001
0.159,-0.808,0.977
0.14,-0.772,0.931
0.14,-0.733,0.882
0.151,-0.712,0.841
0.174,-0.67,0.815
0.186,-0.636,0.76
0.22,-0.623,0.735
0.272,-0.598,0.691
0.302,-0.577,0.652
0.361,-0.565,0.512
0.423,-0.54,0.61
0.447,-0.515,0.596
0.5,-0.506,0.581
0.549,-0.489,0.579
0.574,-0.463,0.576
0.62,-0.459,0.576
0.657,-0.467,0.584
0.668,-0.463,0.594
0.689,-0.434,0.603
0.686,-0.464,0.619
0.712,-0.482,0.63
0.731,-0.503,0.633
0.734,-0.524,0.665
0.73,-0.529,0.688
0.717,-0.548,0.706
0.713,-0.594,0.739
0.702,-0.615,0.756
0.679,-0.656,0.765
0.66,-0.702,0.78
0.623,-0.723,0.787
0.608,-0.75,0.801
0.575,-0.756,0.806
0.544,-0.773,0.809
0.544,-0.781,0.817
0.545,-0.777,0.79
0.468,-0.761,0.774
0.435,-0.811,0.712
0.47,-0.798,0.753
0.438,-0.744,0.706
0.429,-0.764,0.682
0.448,-0.77,0.688
0.442,-0.761,0.679
0.474,-0.78,0.673
0.439,-0.77,0.67
0.442,-0.77,0.682
0.458,-0.766,0.72
0.485,-0.749,0.783
0.489,-0.727,0.824
0.424,-0.719,0.774
0.391,-0.695,0.795
0.394,-0.635,0.898
0.391,-0.651,0.906
0.373,-0.68,0.903
0.344,-0.668,0.904
0.325,-0.646,0.876
0.34,-0.663,1.036
0.362,-0.663,1.004
0.332,-0.733,0.831
0.309,-0.652,0.945
0.328,-0.669,0.84
0.347,-0.691,0.825
0.322,-0.619,0.811
0.3,-0.573,0.774
0.289,-0.54,0.786
0.252,-0.469,0.782
0.228,-0.414,0.773
0.218,-0.395,0.768
0.198,-0.369,0.761
0.192,-0.351,0.75
0.17,-0.34,0.752
0.14,-0.301,0.756
0.112,-0.261,0.762
0.099,-0.246,0.766
0.085,-0.233,0.768
0.075,-0.236,0.773
0.069,-0.238,0.777
0.058,-0.231,0.791
0.047,-0.201,0.804
0.044,-0.158,0.821
0.042,-0.139,0.831
0.042,-0.109,0.833
0.047,-0.094,0.827
0.058,-0.085,0.832
0.069,-0.051,0.842
0.064,-0.02,0.817
0.046,0.067,0.738
0.089,0.098,0.781
0.129,0.128,0.825
0.131,0.14,0.82
0.123,0.167,0.813
0.117,0.2,0.795
0.095,0.209,0.762
0.106,0.215,0.761
0.115,0.231,0.789
0.692,-0.938,0.52
0.687,-0.937,0.563
0.604,-0.932,0.527
0.69,-0.948,0.631
0.757,-0.981,0.791
0.718,-0.935,0.887
0.626,-0.944,0.93
0.588,-0.953,1.022
0.53,-0.951,1.143
0.475,-0.944,1.232
0.439,-0.924,1.264
0.416,-0.923,1.342
0.364,-0.911,1.422
0.259,-0.854,1.425
0.172,-0.828,1.427
0.15,-0.8,1.418
0.116,-0.793,1.413
0.091,-0.764,1.388
0.028,-0.743,1.274
0.014,-0.723,1.2
-0.003,-0.705,1.142
0.002,-0.678,1.076
0.002,-0.65,1.04
0.006,-0.619,0.97
0.026,-0.604,0.915
0.062,-0.583,0.893
0.09,-0.565,0.871
0.15,-0.563,0.832
0.213,-0.549,0.821
0.245,-0.521,0.802
0.318,-0.517,0.767
0.384,-0.487,0.753
0.419,-0.469,0.745
0.472,-0.459,0.74
